Date,Value
1999-01-31,93.47076214
1999-02-28,93.711518207
1999-03-31,94.335345041
1999-04-30,95.226464411
1999-05-31,95.974613697
1999-06-30,96.429408467
1999-07-31,96.778079968
1999-08-31,97.039259856
1999-09-30,97.055029383
1999-10-31,96.822542273
1999-11-30,96.549378417
1999-12-31,96.415036955
2000-01-31,96.392320095
2000-02-29,96.489605711
2000-03-31,96.833510679
2000-04-30,97.381436065
2000-05-31,98.006072849
2000-06-30,98.569438928
2000-07-31,98.946055007
2000-08-31,99.180468094
2000-09-30,99.36924097
2000-10-31,99.549365798
2000-11-30,99.741106841
2000-12-31,100.0
2001-01-31,100.36306841
2001-02-28,100.81393469
2001-03-31,101.42330176
2001-04-30,102.21088173
2001-05-31,103.10291126
2001-06-30,104.0393582
2001-07-31,104.95516404
2001-08-31,105.71904564
2001-09-30,106.16318471
2001-10-31,106.1743856
2001-11-30,106.02910469
2001-12-31,106.14102822
2002-01-31,106.54195857
2002-02-28,107.16758735
2002-03-31,108.06498497
2002-04-30,109.191933
2002-05-31,110.27546849
2002-06-30,111.08737141
2002-07-31,111.65637564
2002-08-31,111.96497183
2002-09-30,112.03683568
2002-10-31,112.08106931
2002-11-30,112.31043221
2002-12-31,112.80681584
2003-01-31,113.47568615
2003-02-28,114.31541794
2003-03-31,115.25833237
2003-04-30,116.22792759
2003-05-31,117.35377577
2003-06-30,118.55910968
2003-07-31,119.7158052
2003-08-31,120.68380342
2003-09-30,121.15713231
2003-10-31,121.22139289
2003-11-30,121.36210304
2003-12-31,121.81522929
2004-01-31,122.51141317
2004-02-29,123.36730067
2004-03-31,124.43788936
2004-04-30,125.88555997
2004-05-31,127.64040965
2004-06-30,129.38714217
2004-07-31,130.86335053
2004-08-31,131.87506151
2004-09-30,132.35700736
2004-10-31,132.65023125
2004-11-30,133.15677023
2004-12-31,133.89826552
2005-01-31,134.82793009
2005-02-28,136.02040835
2005-03-31,137.56930808
2005-04-30,139.32566028
2005-05-31,141.09307375
2005-06-30,143.04088557
2005-07-31,145.15845947
2005-08-31,146.93360847
2005-09-30,148.04666522
2005-10-31,148.60615074
2005-11-30,148.7769848
2005-12-31,148.96545672
2006-01-31,149.59373122
2006-02-28,150.6536294
2006-03-31,152.07599541
2006-04-30,153.74791817
2006-05-31,155.33548299
2006-06-30,156.70138028
2006-07-31,157.65305609
2006-08-31,157.80793765
2006-09-30,157.26441777
2006-10-31,156.53110393
2006-11-30,156.0129757
2006-12-31,155.71579373
2007-01-31,155.77388325
2007-02-28,156.42211862
2007-03-31,157.44769149
2007-04-30,158.6816391
2007-05-31,159.98901923
2007-06-30,161.01723007
2007-07-31,161.46989999
2007-08-31,161.27343758
2007-09-30,160.47886951
2007-10-31,159.11728979
2007-11-30,157.33048259
2007-12-31,155.52621684
2008-01-31,154.32925402
2008-02-29,154.06037383
2008-03-31,154.60007419
2008-04-30,155.78897093
2008-05-31,157.26222647
2008-06-30,158.46036346
2008-07-31,158.99891636
2008-08-31,158.72581438
2008-09-30,157.81405372
2008-10-31,156.58695605
2008-11-30,155.22703281
2008-12-31,154.02396396
2009-01-31,153.38818252
2009-02-28,153.41202038
2009-03-31,153.86998517
2009-04-30,154.64348304
2009-05-31,155.5306812
2009-06-30,156.20851297
2009-07-31,156.38242979
2009-08-31,156.04699081
2009-09-30,155.42671519
2009-10-31,154.63822581
2009-11-30,153.84190725
2009-12-31,153.13762277
2010-01-31,152.82291774
2010-02-28,153.16507753
2010-03-31,154.03286713
2010-04-30,155.18298583
2010-05-31,156.2073114
2010-06-30,156.75335406
2010-07-31,156.75216244
2010-08-31,156.30626127
2010-09-30,155.74696
2010-10-31,155.42928041
2010-11-30,155.38191113
2010-12-31,155.50485903
2011-01-31,155.68527083
2011-02-28,155.85347926
2011-03-31,156.18192283
2011-04-30,156.73843192
2011-05-31,157.30743912
2011-06-30,157.52107587
2011-07-31,157.18455275
2011-08-31,156.53020289
2011-09-30,155.72162888
2011-10-31,154.76201395
2011-11-30,153.84121505
2011-12-31,153.16666142
2012-01-31,152.85240368
2012-02-29,153.03336528
2012-03-31,153.94563421
2012-04-30,155.62537977
2012-05-31,157.61793472
2012-06-30,159.30159715
2012-07-31,160.14220941
2012-08-31,160.02363682
2012-09-30,159.49684113
2012-10-31,159.07408137
2012-11-30,158.77634709
2012-12-31,158.56509738
2013-01-31,158.56757942
2013-02-28,158.99783852
2013-03-31,160.14423266
2013-04-30,162.00942613
2013-05-31,163.9836976
2013-06-30,165.33716433
2013-07-31,165.80029986
2013-08-31,165.57735391
2013-09-30,164.9484377
2013-10-31,164.27126138
2013-11-30,163.79408246
2013-12-31,163.56281956
2014-01-31,163.6598088
2014-02-28,164.37092938
2014-03-31,165.72050293
2014-04-30,167.18447207
2014-05-31,168.47987669
2014-06-30,169.5341505
2014-07-31,170.20551655
2014-08-31,170.35766071
2014-09-30,169.96025486
2014-10-31,169.16426572
2014-11-30,168.25399802
2014-12-31,167.64054244
2015-01-31,167.5457582
2015-02-28,168.02221905
2015-03-31,169.1579946
2015-04-30,170.8759125
2015-05-31,172.83980995
2015-06-30,174.53737244
2015-07-31,175.59625114
2015-08-31,176.0793451
2015-09-30,176.10582541
2015-10-31,175.80226496
2015-11-30,175.53428599
2015-12-31,175.3265396
2016-01-31,175.12230115
2016-02-29,175.17553118
2016-03-31,175.71137294
2016-04-30,176.67266719
2016-05-31,177.6785124
2016-06-30,178.14786019
2016-07-31,177.83639297
2016-08-31,177.03262718
2016-09-30,176.17366785
2016-10-31,175.59103182
2016-11-30,175.2319341
2016-12-31,174.80857154
2017-01-31,174.25223991
2017-02-28,173.7953478
2017-03-31,174.034916
