Date,Austin HPI
2017-05-31,1.4
2017-04-30,1.412
2017-03-31,1.414
2017-02-28,1.414
2017-01-31,1.414
2016-12-31,1.4240000000000002
2016-11-30,1.4340000000000002
2016-10-31,1.442
2016-09-30,1.456
2016-08-31,1.476
2016-07-31,1.496
2016-06-30,1.508
2016-05-31,1.514
2016-04-30,1.51
2016-03-31,1.5319999999999998
2016-02-29,1.5519999999999998
2016-01-31,1.578
2015-12-31,1.58
2015-11-30,1.58
2015-10-31,1.578
2015-09-30,1.574
2015-08-31,1.5659999999999998
2015-07-31,1.55
2015-06-30,1.534
2015-05-31,1.526
2015-04-30,1.524
2015-03-31,1.52
2015-02-28,1.514
2015-01-31,1.506
2014-12-31,1.504
2014-11-30,1.496
2014-10-31,1.48
2014-09-30,1.46
2014-08-31,1.44
2014-07-31,1.414
2014-06-30,1.396
2014-05-31,1.376
2014-04-30,1.368
2014-03-31,1.362
2014-02-28,1.362
2014-01-31,1.36
2013-12-31,1.358
2013-11-30,1.35
2013-10-31,1.334
2013-09-30,1.3219999999999998
2013-08-31,1.314
2013-07-31,1.314
2013-06-30,1.314
2013-05-31,1.3119999999999998
2013-04-30,1.3019999999999998
2013-03-31,1.288
2013-02-28,1.27
2013-01-31,1.25
2012-12-31,1.232
2012-11-30,1.216
2012-10-31,1.202
2012-09-30,1.198
2012-08-31,1.196
2012-07-31,1.198
2012-06-30,1.2
2012-05-31,1.2
2012-04-30,1.2
2012-03-31,1.194
2012-02-29,1.188
2012-01-31,1.1840000000000002
2011-12-31,1.186
2011-11-30,1.194
2011-10-31,1.2
2011-09-30,1.208
2011-08-31,1.212
2011-07-31,1.212
2011-06-30,1.21
2011-05-31,1.21
2011-04-30,1.206
2011-03-31,1.198
2011-02-28,1.188
2011-01-31,1.18
2010-12-31,1.172
2010-11-30,1.168
